Model Type,Hidden Size,Num Layers,Dropout,Learning Rate,Num Epochs,Early Stopping,Patience,Accuracy,Loss
cnn,256,1,0.05,0.0005,100,True,5,0.67,1.184952735900879
cnn,256,2,0.05,0.0005,100,True,5,0.67,1.237878680229187
cnn,64,3,0.05,0.0002,200,True,5,0.67,0.9969474673271179
cnn,128,4,0.05,0.0005,100,True,5,0.67,1.156097412109375
dense,128,3,0.05,0.0002,200,True,5,0.67,1.073272943496704
dense,256,5,0.3,0.0005,50,True,5,0.67,1.0749471187591553
cnn,256,4,0.01,0.001,50,True,5,0.67,1.2750835418701172
cnn,256,3,0.3,0.0002,50,True,5,0.67,1.1630961894989014
cnn,128,4,0.01,0.0001,50,True,5,0.67,1.073473334312439
cnn,128,4,0.3,0.0005,200,True,5,0.67,1.071421504020691
cnn,128,4,0.3,0.0005,50,True,5,0.67,1.0635976791381836
dense,128,2,0.3,0.0005,100,True,5,0.67,1.009669542312622
cnn,128,3,0.1,0.0005,200,True,5,0.67,1.1180801391601562
rnn,64,3,0.1,0.0002,200,True,5,0.67,1.1398674249649048
dense,128,1,0.3,0.001,200,True,5,0.67,0.9905846118927002
dense,64,4,0.05,0.001,50,True,5,0.67,1.2708966732025146
dense,64,1,0.05,0.001,100,True,5,0.67,1.0254145860671997
cnn,128,3,0.3,0.001,200,True,5,0.67,1.2055373191833496
cnn,128,5,0.05,0.001,100,True,5,0.67,1.1148254871368408
cnn,256,4,0.01,0.0001,50,True,5,0.67,1.1374129056930542
cnn,256,5,0.01,0.0001,50,True,5,0.67,1.1110937595367432
cnn,256,5,0.01,0.0001,100,True,5,0.67,1.0810246467590332
cnn,256,2,0.01,0.0001,200,True,5,0.67,1.1514028310775757
cnn,64,1,0.5,0.0005,50,True,5,0.67,1.0575600862503052
cnn,128,2,0.01,0.0002,50,True,5,0.67,1.152337670326233
rnn,128,2,0.01,0.0002,100,True,5,0.67,1.0885095596313477
cnn,64,1,0.5,0.0002,200,True,5,0.67,1.0600380897521973
cnn,64,4,0.5,0.0005,100,True,5,0.67,0.9924097657203674
rnn,64,4,0.5,0.0005,200,True,5,0.67,0.9781560301780701
rnn,128,4,0.01,0.0005,100,True,5,0.67,1.0763872861862183
cnn,128,1,0.05,0.0005,100,True,5,0.67,1.2091453075408936
cnn,128,2,0.05,0.0005,100,True,5,0.67,1.1458139419555664
cnn,128,3,0.05,0.0005,100,True,5,0.67,1.1726943254470825
cnn,256,4,0.01,0.0005,100,True,5,0.67,1.2227380275726318
cnn,256,4,0.3,0.001,200,True,5,0.67,1.2864656448364258
dense,256,2,0.01,0.0005,50,True,5,0.67,1.0263984203338623
dense,256,4,0.01,0.0005,50,True,5,0.67,1.0380760431289673
rnn,256,4,0.3,0.0005,200,True,5,0.67,1.0101171731948853
cnn,128,4,0.05,0.0002,200,True,5,0.67,1.074213981628418
cnn,64,2,0.1,0.0001,100,True,5,0.67,1.0722192525863647
cnn,256,1,0.01,0.0002,100,True,5,0.67,1.2215901613235474
rnn,128,4,0.1,0.001,100,True,5,0.67,1.090199589729309
cnn,256,3,0.01,0.0002,50,True,5,0.67,1.1838550567626953
cnn,128,2,0.1,0.0001,50,True,5,0.67,1.052931308746338
cnn,128,5,0.01,0.0005,50,True,5,0.67,1.1578049659729004
cnn,128,4,0.01,0.001,100,True,5,0.67,1.2473711967468262
cnn,128,2,0.5,0.001,100,True,5,0.67,1.1662118434906006
cnn,128,4,0.01,0.0005,200,True,5,0.67,1.1798628568649292
rnn,128,4,0.01,0.001,200,True,5,0.67,1.0596568584442139
cnn,64,2,0.1,0.001,200,True,5,0.67,1.2030396461486816
cnn,128,2,0.3,0.001,50,True,5,0.67,1.2417447566986084
cnn,64,4,0.05,0.001,100,True,5,0.67,1.1210099458694458
cnn,64,2,0.05,0.001,200,True,5,0.67,1.2189908027648926
cnn,64,5,0.05,0.001,50,True,5,0.67,1.2222775220870972
cnn,128,4,0.05,0.001,200,True,5,0.67,1.2392042875289917
cnn,128,4,0.5,0.001,200,True,5,0.67,1.1159048080444336
cnn,256,2,0.05,0.0001,200,True,5,0.67,1.095131754875183
cnn,64,4,0.3,0.0005,200,True,5,0.67,1.0888206958770752
cnn,64,2,0.05,0.0005,50,True,5,0.67,1.1999444961547852
cnn,64,5,0.05,0.0005,50,True,5,0.67,1.1586896181106567
cnn,64,4,0.3,0.0002,50,True,5,0.67,1.0474683046340942
rnn,64,2,0.05,0.0005,100,True,5,0.67,1.0733897686004639
cnn,128,5,0.5,0.0001,50,True,5,0.67,1.0889381170272827
cnn,256,3,0.05,0.001,100,True,5,0.67,1.3918020725250244
rnn,256,3,0.05,0.001,200,True,5,0.67,1.0601024627685547
cnn,256,2,0.05,0.001,50,True,5,0.67,1.4053759574890137
cnn,64,3,0.01,0.0002,50,True,5,0.67,1.0404027700424194
rnn,64,2,0.3,0.001,200,True,5,0.67,1.0578601360321045
dense,64,3,0.05,0.0005,100,True,5,0.67,1.1747115850448608
dense,64,2,0.05,0.0005,200,True,5,0.67,1.0846962928771973
dense,64,5,0.05,0.0005,200,True,5,0.67,1.1082786321640015
rnn,128,2,0.05,0.001,50,True,5,0.67,1.3963202238082886
cnn,256,4,0.1,0.001,200,True,5,0.67,1.408045768737793
cnn,256,4,0.1,0.001,50,True,5,0.67,1.3525065183639526
cnn,256,2,0.01,0.0002,200,True,5,0.67,1.2100543975830078
cnn,256,2,0.01,0.0002,100,True,5,0.67,1.1676974296569824
cnn,256,4,0.01,0.0002,100,True,5,0.67,1.1510236263275146
rnn,128,3,0.3,0.0002,100,True,5,0.67,1.1470537185668945
rnn,128,2,0.3,0.0002,200,True,5,0.67,1.0439789295196533
cnn,256,2,0.01,0.0001,50,True,5,0.67,1.0827829837799072
dense,256,4,0.01,0.0002,100,True,5,0.67,1.0245637893676758
cnn,128,4,0.3,0.0001,50,True,5,0.67,1.0170605182647705
cnn,128,1,0.1,0.001,100,True,5,0.67,1.171947956085205
rnn,64,2,0.01,0.0005,200,True,5,0.67,1.0126078128814697
cnn,64,4,0.05,0.0002,50,True,5,0.67,1.143178105354309
rnn,256,3,0.1,0.0001,200,True,5,0.67,1.0209237337112427
dense,64,3,0.01,0.001,100,True,5,0.67,1.0709463357925415
cnn,256,5,0.1,0.0002,200,True,5,0.67,1.1714919805526733
cnn,256,4,0.1,0.0002,200,True,5,0.67,1.1692132949829102
rnn,64,3,0.05,0.0002,200,True,5,0.67,1.0642412900924683
cnn,256,5,0.05,0.001,200,True,5,0.67,1.3006728887557983
rnn,64,2,0.05,0.0002,200,True,5,0.67,1.081845998764038
rnn,256,1,0.05,0.0005,50,True,5,0.665,1.0886427164077759
cnn,256,1,0.05,0.0005,50,True,5,0.665,1.1130948066711426
dense,64,4,0.01,0.0005,200,True,5,0.665,1.1123367547988892
cnn,256,4,0.05,0.0005,200,True,5,0.665,1.3309166431427002
cnn,256,3,0.05,0.0005,50,True,5,0.665,1.277673602104187
dense,256,4,0.1,0.0005,50,True,5,0.665,1.0388356447219849
cnn,256,4,0.1,0.0002,50,True,5,0.665,1.1841709613800049
dense,256,2,0.1,0.0005,50,True,5,0.665,1.020592451095581
cnn,64,1,0.01,0.0005,100,True,5,0.665,1.04584801197052
rnn,256,4,0.1,0.0002,100,True,5,0.665,1.035858392715454
dense,128,5,0.1,0.001,200,True,5,0.665,0.959126889705658
dense,128,5,0.1,0.001,50,True,5,0.665,1.091426968574524
cnn,64,4,0.01,0.0005,50,True,5,0.665,1.163417935371399
rnn,256,4,0.3,0.001,50,True,5,0.665,1.6608003377914429
dense,128,5,0.1,0.001,100,True,5,0.665,0.9874751567840576
cnn,128,5,0.3,0.0001,50,True,5,0.665,1.0367625951766968
rnn,256,4,0.01,0.0005,100,True,5,0.665,1.054582953453064
rnn,256,4,0.01,0.0005,50,True,5,0.665,1.9581379890441895
cnn,256,3,0.01,0.0005,100,True,5,0.665,1.2965699434280396
cnn,256,3,0.01,0.001,200,True,5,0.665,1.36061692237854
cnn,256,3,0.01,0.0002,200,True,5,0.665,1.190232515335083
cnn,256,4,0.3,0.001,100,True,5,0.665,1.1809489727020264
cnn,128,2,0.05,0.0005,50,True,5,0.665,1.1351499557495117
cnn,256,1,0.01,0.0001,50,True,5,0.665,1.1103118658065796
dense,128,3,0.3,0.0002,200,True,5,0.665,1.0971596240997314
dense,128,2,0.3,0.0002,200,True,5,0.665,1.100043535232544
cnn,256,1,0.01,0.0002,50,True,5,0.665,1.2301126718521118
cnn,256,4,0.01,0.0002,50,True,5,0.665,1.1691946983337402
rnn,256,1,0.01,0.0002,100,True,5,0.665,1.0532456636428833
cnn,64,1,0.1,0.0002,50,True,5,0.665,1.0646071434020996
cnn,128,4,0.01,0.0001,200,True,5,0.665,1.0260249376296997
cnn,256,1,0.3,0.0002,100,True,5,0.665,1.1136233806610107
cnn,64,5,0.5,0.001,50,True,5,0.665,1.095931887626648
rnn,64,2,0.1,0.0005,100,True,5,0.665,1.0323203802108765
cnn,64,3,0.5,0.0001,100,True,5,0.665,1.0349678993225098
cnn,64,2,0.5,0.0002,100,True,5,0.665,1.0045921802520752
cnn,64,5,0.5,0.0005,200,True,5,0.665,1.0414206981658936
cnn,128,1,0.01,0.0002,50,True,5,0.665,1.066684603691101
cnn,64,5,0.1,0.0005,100,True,5,0.665,1.106318712234497
dense,256,1,0.3,0.0001,200,True,5,0.665,1.1130048036575317
cnn,128,3,0.01,0.0002,100,True,5,0.665,1.0985462665557861
cnn,128,3,0.01,0.0002,50,True,5,0.665,1.1351678371429443
rnn,128,3,0.1,0.0002,100,True,5,0.665,1.1321579217910767
cnn,256,3,0.01,0.0001,200,True,5,0.665,1.1153427362442017
dense,128,2,0.01,0.0005,50,True,5,0.665,1.190595269203186
dense,128,2,0.3,0.0005,200,True,5,0.665,0.9859427809715271
cnn,128,5,0.05,0.0005,50,True,5,0.665,1.183356523513794
cnn,128,3,0.1,0.0005,100,True,5,0.665,1.1505948305130005
cnn,128,1,0.1,0.0002,50,True,5,0.665,1.1351768970489502
cnn,256,1,0.3,0.0002,200,True,5,0.665,1.1826088428497314
cnn,128,5,0.1,0.0005,200,True,5,0.665,1.1385687589645386
rnn,128,3,0.1,0.0005,100,True,5,0.665,1.0496762990951538
cnn,128,1,0.1,0.0005,50,True,5,0.665,1.1367602348327637
cnn,256,2,0.01,0.0005,50,True,5,0.665,1.3119758367538452
cnn,128,5,0.1,0.0005,100,True,5,0.665,1.0855294466018677
cnn,64,4,0.05,0.001,200,True,5,0.665,1.1922880411148071
dense,128,5,0.1,0.0002,200,True,5,0.665,1.0997729301452637
cnn,128,2,0.05,0.001,100,True,5,0.665,1.2812248468399048
cnn,256,4,0.1,0.001,100,True,5,0.665,1.4059492349624634
dense,64,3,0.3,0.001,100,True,5,0.665,1.0696991682052612
dense,64,4,0.3,0.001,200,True,5,0.665,1.0614538192749023
rnn,64,3,0.3,0.001,50,True,5,0.665,1.9126964807510376
rnn,64,2,0.3,0.001,50,True,5,0.665,1.475839376449585
cnn,128,2,0.01,0.0005,200,True,5,0.665,1.1789038181304932
cnn,64,4,0.3,0.0001,100,True,5,0.665,0.997745156288147
cnn,64,1,0.05,0.0005,100,True,5,0.665,1.0916250944137573
cnn,128,2,0.5,0.0005,50,True,5,0.665,1.0199534893035889
rnn,128,3,0.01,0.001,50,True,5,0.665,1.827330470085144
dense,128,4,0.01,0.001,50,True,5,0.665,1.0433039665222168
cnn,128,1,0.1,0.0001,50,True,5,0.665,1.0044728517532349
rnn,64,2,0.05,0.0005,200,True,5,0.665,1.0614784955978394
cnn,256,2,0.05,0.001,200,True,5,0.665,1.3969417810440063
rnn,128,1,0.5,0.0002,200,True,5,0.665,1.1294572353363037
cnn,64,1,0.01,0.0002,50,True,5,0.665,1.0739933252334595
cnn,256,3,0.1,0.0005,50,True,5,0.665,1.1823039054870605
rnn,256,3,0.1,0.0005,50,True,5,0.665,1.897599220275879
cnn,64,4,0.01,0.001,100,True,5,0.665,1.2452315092086792
cnn,64,2,0.05,0.0002,100,True,5,0.665,0.9918085336685181
rnn,64,4,0.01,0.001,100,True,5,0.665,1.0924607515335083
dense,64,2,0.01,0.001,200,True,5,0.665,1.1000126600265503
rnn,64,1,0.01,0.001,200,True,5,0.665,1.0311542749404907
cnn,128,1,0.5,0.0001,50,True,5,0.665,1.0918831825256348
rnn,64,1,0.1,0.001,200,True,5,0.665,1.0171161890029907
cnn,256,3,0.05,0.0002,100,True,5,0.665,1.2041559219360352
dense,256,2,0.1,0.0002,200,True,5,0.665,0.9240791201591492
cnn,64,5,0.05,0.0002,50,True,5,0.665,0.9875193238258362
dense,256,1,0.5,0.001,50,True,5,0.665,1.0021721124649048
dense,256,4,0.5,0.001,50,True,5,0.665,1.0199931859970093
rnn,256,3,0.1,0.0005,100,True,5,0.665,1.013017177581787
cnn,256,4,0.05,0.0002,200,True,5,0.665,1.205642819404602
cnn,64,4,0.1,0.001,200,True,5,0.665,1.1469532251358032
cnn,64,1,0.1,0.001,50,True,5,0.665,1.154505968093872
cnn,64,3,0.1,0.001,50,True,5,0.665,1.184777021408081
cnn,64,3,0.1,0.001,100,True,5,0.665,1.134616732597351
cnn,128,2,0.01,0.001,50,True,5,0.665,1.3003208637237549
cnn,128,1,0.5,0.001,50,True,5,0.665,1.117368221282959
rnn,128,2,0.5,0.001,50,True,5,0.665,1.3192906379699707
cnn,128,5,0.01,0.001,50,True,5,0.665,1.1921489238739014
cnn,128,4,0.01,0.0005,100,True,5,0.665,1.1686525344848633
rnn,128,1,0.5,0.001,50,True,5,0.665,1.0939490795135498
cnn,128,5,0.01,0.0005,200,True,5,0.665,1.2120530605316162
dense,64,2,0.1,0.001,100,True,5,0.665,1.0652090311050415
rnn,64,1,0.05,0.001,200,True,5,0.665,1.018864393234253
cnn,64,3,0.3,0.0005,100,True,5,0.665,1.1401374340057373
cnn,256,4,0.05,0.0001,200,True,5,0.665,1.1157299280166626
cnn,128,4,0.05,0.0005,50,True,5,0.66,1.2386854887008667
cnn,128,4,0.05,0.0005,200,True,5,0.66,1.248710036277771
rnn,128,3,0.01,0.0002,100,True,5,0.66,1.1448445320129395
cnn,128,5,0.05,0.001,200,True,5,0.66,1.1928434371948242
dense,128,1,0.01,0.0002,200,True,5,0.66,1.0567556619644165
dense,64,1,0.1,0.0005,100,True,5,0.66,1.2544516324996948
dense,128,5,0.01,0.0005,50,True,5,0.66,1.2066521644592285
dense,128,4,0.3,0.001,50,True,5,0.66,1.1245135068893433
dense,128,2,0.3,0.001,50,True,5,0.66,1.1089065074920654
rnn,64,2,0.05,0.001,50,True,5,0.66,1.5606987476348877
dense,256,4,0.3,0.0002,200,True,5,0.66,0.965789258480072
rnn,256,4,0.01,0.001,50,True,5,0.66,1.6872222423553467
cnn,256,5,0.3,0.0002,100,True,5,0.66,1.2053881883621216
dense,256,2,0.3,0.0002,200,True,5,0.66,0.9637235403060913
cnn,128,5,0.05,0.0002,50,True,5,0.66,1.0849487781524658
cnn,128,5,0.1,0.001,100,True,5,0.66,1.0892306566238403
cnn,128,1,0.05,0.0002,50,True,5,0.66,1.1086159944534302
cnn,64,2,0.01,0.001,200,True,5,0.66,1.1891887187957764
dense,64,5,0.01,0.001,100,True,5,0.66,1.0860373973846436
cnn,64,1,0.01,0.001,50,True,5,0.66,1.204042911529541
dense,64,4,0.01,0.001,100,True,5,0.66,1.089759349822998
cnn,256,1,0.1,0.0005,50,True,5,0.66,1.1751985549926758
cnn,64,5,0.01,0.001,100,True,5,0.66,1.264744758605957
dense,64,3,0.01,0.001,200,True,5,0.66,1.0586072206497192
cnn,64,3,0.05,0.0002,50,True,5,0.66,0.9955395460128784
rnn,256,4,0.05,0.001,50,True,5,0.66,1.6900627613067627
rnn,256,1,0.1,0.0005,50,True,5,0.66,1.1031529903411865
cnn,256,4,0.1,0.0001,100,True,5,0.66,1.100261926651001
cnn,64,2,0.01,0.0005,200,True,5,0.66,1.263299822807312
cnn,256,4,0.1,0.0005,50,True,5,0.66,1.2662585973739624
dense,256,1,0.1,0.0001,200,True,5,0.66,1.0387994050979614
dense,64,4,0.3,0.001,100,True,5,0.66,1.0700805187225342
cnn,256,3,0.1,0.001,100,True,5,0.66,1.3824025392532349
dense,64,5,0.3,0.0005,200,True,5,0.66,1.038641095161438
rnn,64,2,0.3,0.0005,100,True,5,0.66,1.0877797603607178
cnn,64,5,0.3,0.0002,50,True,5,0.66,1.0865678787231445
dense,64,4,0.3,0.0005,200,True,5,0.66,1.111655592918396
rnn,128,1,0.5,0.0005,100,True,5,0.66,1.0695825815200806
rnn,64,4,0.05,0.001,100,True,5,0.66,1.106043815612793
rnn,256,3,0.1,0.001,200,True,5,0.66,1.0735046863555908
cnn,256,1,0.05,0.001,50,True,5,0.66,1.4177464246749878
cnn,64,5,0.01,0.0005,50,True,5,0.66,1.1395220756530762
cnn,256,4,0.5,0.0005,50,True,5,0.66,1.1364643573760986
cnn,64,4,0.05,0.0005,200,True,5,0.66,1.0226131677627563
rnn,64,2,0.1,0.001,100,True,5,0.66,1.0305825471878052
dense,256,4,0.1,0.0001,200,True,5,0.66,1.0602493286132812
cnn,64,1,0.05,0.001,50,True,5,0.66,1.1975842714309692
dense,128,1,0.1,0.0002,200,True,5,0.66,1.0811419486999512
cnn,64,1,0.1,0.001,200,True,5,0.66,1.1520779132843018
cnn,256,3,0.3,0.001,200,True,5,0.66,1.2196323871612549
cnn,128,3,0.05,0.0005,50,True,5,0.66,1.1736953258514404
cnn,256,2,0.1,0.001,50,True,5,0.66,1.2246730327606201
cnn,256,1,0.1,0.001,200,True,5,0.66,1.322049617767334
cnn,256,1,0.1,0.001,100,True,5,0.66,1.4616895914077759
cnn,256,2,0.05,0.0001,100,True,5,0.66,1.0763013362884521
cnn,64,2,0.1,0.001,100,True,5,0.66,1.1107556819915771
dense,128,3,0.3,0.0005,100,True,5,0.66,1.094069004058838
dense,256,1,0.5,0.0002,200,True,5,0.66,1.0195434093475342
dense,64,1,0.01,0.0005,100,True,5,0.66,1.2208178043365479
dense,128,2,0.1,0.001,50,True,5,0.66,1.0505985021591187
cnn,256,3,0.05,0.0005,100,True,5,0.66,1.1597942113876343
dense,256,3,0.3,0.0005,50,True,5,0.66,1.0791423320770264
rnn,256,5,0.01,0.001,200,True,5,0.66,1.1469295024871826
cnn,256,2,0.01,0.0005,200,True,5,0.66,1.2722325325012207
cnn,256,3,0.3,0.001,100,True,5,0.66,1.2788211107254028
cnn,64,4,0.1,0.001,100,True,5,0.66,1.1963741779327393
cnn,256,5,0.1,0.001,200,True,5,0.66,1.3488465547561646
dense,128,5,0.01,0.001,50,True,5,0.66,1.0552040338516235
dense,128,3,0.05,0.001,100,True,5,0.66,0.9934420585632324
cnn,64,4,0.05,0.001,50,True,5,0.66,1.15392005443573
rnn,128,3,0.01,0.001,200,True,5,0.66,1.0663586854934692
dense,64,4,0.01,0.0005,100,True,5,0.655,1.1903209686279297
cnn,256,1,0.05,0.0005,200,True,5,0.655,1.3160309791564941
cnn,128,5,0.1,0.001,200,True,5,0.655,1.2830222845077515
dense,128,1,0.1,0.001,50,True,5,0.655,1.0760886669158936
dense,64,2,0.01,0.0005,100,True,5,0.655,1.2045845985412598
cnn,64,5,0.01,0.0005,200,True,5,0.655,1.2067420482635498
cnn,256,4,0.05,0.001,200,True,5,0.655,1.4046481847763062
cnn,128,3,0.05,0.0002,100,True,5,0.655,1.0690267086029053
cnn,256,4,0.01,0.0005,200,True,5,0.655,1.2975512742996216
cnn,256,5,0.01,0.0005,200,True,5,0.655,1.2618086338043213
cnn,64,4,0.5,0.0001,100,True,5,0.655,0.9914379715919495
cnn,128,2,0.01,0.0002,100,True,5,0.655,1.1518205404281616
rnn,128,3,0.01,0.0005,50,True,5,0.655,2.024765729904175
cnn,64,1,0.5,0.0001,100,True,5,0.655,1.0939507484436035
rnn,128,5,0.01,0.0002,200,True,5,0.655,1.116816520690918
dense,64,5,0.1,0.0005,200,True,5,0.655,1.0021333694458008
cnn,64,2,0.1,0.0002,50,True,5,0.655,1.016198754310608
dense,64,4,0.1,0.0005,100,True,5,0.655,1.2271792888641357
rnn,128,2,0.1,0.0002,100,True,5,0.655,1.083228349685669
cnn,128,1,0.05,0.0005,200,True,5,0.655,1.2027815580368042
dense,256,4,0.01,0.0001,200,True,5,0.655,1.076819658279419
cnn,256,1,0.3,0.0002,50,True,5,0.655,1.072973370552063
dense,256,3,0.3,0.0002,100,True,5,0.655,1.0807080268859863
cnn,256,2,0.01,0.001,50,True,5,0.655,1.3212743997573853
cnn,256,4,0.3,0.0005,200,True,5,0.655,1.2606700658798218
dense,128,4,0.05,0.0002,200,True,5,0.655,1.0957618951797485
rnn,128,4,0.3,0.0005,200,True,5,0.655,1.0409482717514038
dense,128,5,0.3,0.0005,100,True,5,0.655,1.0732760429382324
cnn,256,3,0.01,0.0005,200,True,5,0.655,1.263848066329956
cnn,256,4,0.1,0.0005,200,True,5,0.655,1.2071996927261353
dense,128,4,0.3,0.0002,200,True,5,0.655,1.170487880706787
cnn,128,4,0.1,0.001,100,True,5,0.655,1.1427000761032104
rnn,256,3,0.01,0.0001,100,True,5,0.655,1.1606885194778442
cnn,128,2,0.1,0.001,50,True,5,0.655,1.2352042198181152
cnn,128,1,0.1,0.001,50,True,5,0.655,1.2245457172393799
rnn,128,1,0.1,0.001,50,True,5,0.655,1.0512031316757202
cnn,128,3,0.1,0.001,50,True,5,0.655,1.1456403732299805
cnn,256,2,0.01,0.0002,50,True,5,0.655,1.2311625480651855
rnn,256,2,0.01,0.0002,50,True,5,0.655,1.8240747451782227
cnn,64,3,0.1,0.001,200,True,5,0.655,1.0733469724655151
rnn,128,4,0.5,0.001,200,True,5,0.655,1.0669807195663452
cnn,128,1,0.01,0.0005,100,True,5,0.655,1.1357903480529785
cnn,128,1,0.01,0.001,200,True,5,0.655,1.2647285461425781
cnn,256,1,0.05,0.0001,200,True,5,0.655,1.1758521795272827
rnn,64,4,0.3,0.0005,200,True,5,0.655,1.120461106300354
cnn,128,5,0.01,0.0005,100,True,5,0.655,1.2160494327545166
dense,64,4,0.05,0.001,100,True,5,0.655,1.0827856063842773
cnn,64,3,0.3,0.0002,50,True,5,0.655,1.0528209209442139
rnn,64,3,0.05,0.0005,200,True,5,0.655,1.086403250694275
rnn,64,2,0.3,0.0002,200,True,5,0.655,1.1238455772399902
cnn,128,3,0.01,0.0005,200,True,5,0.655,1.1717818975448608
cnn,128,1,0.01,0.0005,200,True,5,0.655,1.2237789630889893
dense,128,4,0.1,0.0002,200,True,5,0.655,1.0372318029403687
cnn,64,5,0.05,0.001,200,True,5,0.655,1.0898196697235107
cnn,64,2,0.05,0.001,100,True,5,0.655,1.262872338294983
dense,64,5,0.3,0.001,100,True,5,0.655,1.0435432195663452
dense,64,4,0.05,0.0005,100,True,5,0.655,1.2481971979141235
cnn,64,4,0.3,0.001,100,True,5,0.655,1.1282963752746582
cnn,256,3,0.05,0.0002,200,True,5,0.655,1.156592845916748
cnn,64,3,0.01,0.0005,200,True,5,0.655,1.1705353260040283
cnn,128,4,0.5,0.0001,50,True,5,0.655,1.089474081993103
rnn,64,2,0.01,0.0002,200,True,5,0.655,1.1331955194473267
cnn,64,5,0.01,0.0002,50,True,5,0.655,1.0790202617645264
cnn,256,5,0.05,0.001,50,True,5,0.655,1.3757200241088867
cnn,64,5,0.01,0.0002,200,True,5,0.655,1.043480634689331
rnn,64,3,0.01,0.0002,200,True,5,0.655,1.066832184791565
cnn,256,1,0.1,0.0001,100,True,5,0.655,1.1399319171905518
cnn,256,5,0.05,0.0002,50,True,5,0.655,1.167427659034729
rnn,256,1,0.05,0.0002,100,True,5,0.655,1.0556650161743164
cnn,256,3,0.05,0.0002,50,True,5,0.655,1.1422356367111206
cnn,64,4,0.01,0.001,50,True,5,0.655,1.22535240650177
cnn,64,5,0.01,0.001,200,True,5,0.655,1.2057558298110962
cnn,64,3,0.01,0.001,200,True,5,0.655,1.1870418787002563
cnn,64,1,0.01,0.001,100,True,5,0.655,1.2136011123657227
cnn,256,2,0.3,0.001,200,True,5,0.65,1.3105183839797974
rnn,256,1,0.3,0.0005,50,True,5,0.65,1.1270174980163574
cnn,256,5,0.01,0.001,200,True,5,0.65,1.376265048980713
cnn,256,4,0.01,0.001,200,True,5,0.65,1.337825059890747
rnn,256,1,0.1,0.0002,100,True,5,0.65,1.0661845207214355
cnn,256,4,0.1,0.0005,100,True,5,0.65,1.2602380514144897
rnn,256,3,0.1,0.0001,100,True,5,0.65,1.1479874849319458
cnn,64,4,0.01,0.0002,50,True,5,0.65,1.029433250427246
cnn,256,3,0.3,0.0005,100,True,5,0.65,1.2472200393676758
dense,128,2,0.05,0.0001,200,True,5,0.65,1.2334930896759033
rnn,64,4,0.3,0.001,200,True,5,0.65,1.073876976966858
rnn,256,1,0.05,0.0001,200,True,5,0.65,1.046616792678833
dense,128,1,0.3,0.001,50,True,5,0.65,1.0882059335708618
dense,256,5,0.3,0.0001,200,True,5,0.65,1.1158934831619263
dense,256,4,0.1,0.0001,100,True,5,0.65,1.2801977396011353
rnn,128,3,0.3,0.0005,50,True,5,0.65,1.992571234703064
dense,64,3,0.1,0.0002,200,True,5,0.65,1.2621486186981201
dense,128,5,0.3,0.001,50,True,5,0.65,1.1306495666503906
dense,256,5,0.3,0.0002,100,True,5,0.65,1.1031601428985596
rnn,256,2,0.01,0.0001,100,True,5,0.65,1.121219515800476
cnn,64,1,0.05,0.0005,50,True,5,0.65,1.1029289960861206
rnn,64,1,0.05,0.0005,200,True,5,0.65,1.0283087491989136
dense,64,3,0.1,0.001,50,True,5,0.65,1.2376385927200317
dense,64,2,0.01,0.0002,200,True,5,0.65,1.2481588125228882
cnn,128,2,0.01,0.0005,50,True,5,0.65,1.2422116994857788
dense,64,1,0.1,0.001,200,True,5,0.65,1.0509419441223145
cnn,64,4,0.5,0.0001,200,True,5,0.65,1.0374336242675781
cnn,64,3,0.3,0.0001,100,True,5,0.65,1.0476047992706299
rnn,64,4,0.1,0.0005,200,True,5,0.65,1.103156566619873
rnn,64,4,0.01,0.001,200,True,5,0.65,1.059913992881775
cnn,256,1,0.05,0.0002,100,True,5,0.65,1.1627198457717896
rnn,128,3,0.5,0.0005,200,True,5,0.65,0.9937130808830261
rnn,64,2,0.1,0.001,50,True,5,0.65,1.5207362174987793
dense,64,1,0.01,0.001,100,True,5,0.65,1.0574371814727783
dense,64,2,0.05,0.0002,200,True,5,0.65,1.2551789283752441
cnn,256,5,0.01,0.0005,50,True,5,0.65,1.215720772743225
rnn,256,4,0.1,0.001,50,True,5,0.65,1.7045000791549683
cnn,128,3,0.5,0.0001,50,True,5,0.65,1.0817584991455078
dense,64,1,0.05,0.0005,100,True,5,0.65,1.1827502250671387
cnn,256,5,0.1,0.001,50,True,5,0.65,1.3595895767211914
dense,128,3,0.1,0.0002,200,True,5,0.65,1.1273982524871826
cnn,64,2,0.5,0.0001,100,True,5,0.65,1.0870336294174194
cnn,256,1,0.05,0.001,100,True,5,0.65,1.4584689140319824
cnn,256,4,0.05,0.001,50,True,5,0.645,1.3433068990707397
cnn,64,2,0.01,0.0005,50,True,5,0.645,1.133644700050354
cnn,64,3,0.05,0.001,50,True,5,0.645,1.1962785720825195
cnn,64,2,0.05,0.001,50,True,5,0.645,1.3160496950149536
cnn,64,5,0.05,0.0005,200,True,5,0.645,1.1823601722717285
cnn,128,5,0.05,0.0005,100,True,5,0.645,1.1554787158966064
cnn,128,4,0.1,0.0005,50,True,5,0.645,1.1815171241760254
cnn,256,5,0.1,0.0002,50,True,5,0.645,1.1894243955612183
cnn,256,1,0.3,0.001,50,True,5,0.645,1.370057225227356
cnn,64,1,0.01,0.0005,200,True,5,0.645,1.2070279121398926
